"Local Authority in England and Health board in Scotland and Wales","long","lat","ONS","05/03","07/03","08/03","09/03","10/03","11/03","12/03","13/03","14/03","15/03","16/03","17/03","18/03","19/03","20/03","21/03","22/03","23/03","24/03","25/03"
"Bolton",-2.47952,53.58449,"E08000001","1 to 4",1,2,3,3,3,3,3,3,3,3,5,7,9,13,15,17,18,19,21
"Bournemouth, Christchurch and Poole",-1.85864,50.74486,"E06000058",0,0,2,2,3,3,3,3,4,5,5,6,7,9,10,11,12,13,14,15
"Bracknell Forest",-0.73363,51.4113,"E06000036",0,2,2,2,2,2,4,4,3,5,4,3,3,3,3,3,3,3,3,3
"Bradford",-1.87389,53.84382,"E08000032","1 to 4",1,1,1,1,1,3,4,4,6,7,7,8,7,9,10,11,13,14,16
"Brent",-0.27568,51.56441,"E09000005",0,1,3,3,3,3,3,4,14,20,20,24,45,66,75,108,128,143,170,192
"Brighton and Hove",-0.15079,50.84649,"E06000043",6,7,7,8,8,8,8,9,9,10,10,9,11,12,14,17,17,17,25,25
"Bristol, City of",-2.57742,51.47115,"E06000023",0,1,2,2,2,3,3,5,4,5,7,8,12,12,13,20,23,28,37,41
"Bromley",0.039246,51.37267,"E09000006","1 to 4",1,1,1,2,2,2,4,5,7,11,23,32,40,52,63,67,76,93,125
"Buckinghamshire",-0.80569,51.76966,"E10000002",0,1,1,1,2,2,4,7,13,15,12,23,27,39,39,41,44,45,50,59
"Bury",-2.3088,53.5931,"E08000002","1 to 4",4,3,3,3,3,3,3,3,3,6,7,7,8,10,11,14,15,17,23
"Calderdale",-1.96182,53.72048,"E08000033",0,0,0,0,0,0,2,2,3,5,2,3,3,3,5,5,5,7,7,7
"Cambridgeshire",-0.23506,52.34966,"E10000003",0,0,0,0,1,1,1,1,4,7,12,12,14,15,16,17,20,30,37,41
